Transition, Lambda_0
Ly_limit,   912.00
Ly_gamma,   972.02
C III_977,   977.02
Ly_beta,  1025.72
O VI_1032,  1032.00
O VI_1038,  1038.00
C III_1176,  1175.80
Si II_1190,  1190.42
Si II_1193,  1193.29
N I_1200,  1199.97
Ly_alpha,  1215.67
N V_1239,  1238.82
N V_1241,  1240.70
Si II_1254,  1253.81
Si II_1259,  1259.52
Si II_1260,  1260.42
Si II*_1265,  1264.74
C I_1277,  1277.46
(Si IIIs)_1295,  1294.54
(C IIIs)_1296,  1296.33
(Si IIIs)_1297,  1296.73
O I_1302,  1302.17
Si II_1304,  1304.37
Si II*_1309,  1309.28
Ni II_1317,  1317.22
(C IIs)_1324,  1323.93
(N IIIs)_1324,  1324.32
C II_1335,  1334.53
C II*_1336,  1335.71
(O IVs)_1343,  1343.35
Ni_1370,  1370.13
Si IV_1394,  1393.76
Si IV_1403,  1402.77
(Si IIIs)_1417,  1417.24
(C IIIs)_1428,  1427.85
N IV]_1486,  1486.50
(S Vs)_1502,  1501.76
Si II_1527,  1526.71
Si II*_1533,  1533.43
C IV_1548,  1548.20
C IV_1551,  1550.77
Fe II_1608,  1608.45
He II_1640,  1640.40
O III]_1661,  1661.00
O III]_1666,  1666.00
Al II_1671,  1670.79
Ni II_1710,  1709.60
(N IVs)_1719,  1718.55
Ni II_1742,  1741.55
N III]_1750,  1749.70
Ni II_1752,  1751.91
Si II_1808,  1808.01
Al III_1855,  1854.72
Al III_1863,  1862.79
[C III]_1909,  1909.00
Fe II_2383,  2382.80
Fe II_2344,  2344.20
Fe II_2587,  2586.70
Fe II_2600,  2600.20
Mg II_2796,  2796.35
Mg II_doublet,  2800.00
Mg II_2804,  2803.50
Mg I_2852,  2852.00
Ne V_2974,  2974.00
He II_3203,  3203.10
O III_3312,  3312.30
O III_3444,  3444.10
Balmer_limit,  3644.60
[O II]_3727,  3726.032
H_eta,  3835.30
[O II]_3729,  3728.815
[Ne III]_3869,  3869.00
H_zeta,  3889.10
Ca II_3934,  3933.66
Ca II_3969,  3968.47
H_epsilon,  3968.88
[S II]_4072,  4072.00
H_delta,  4101.74
G_band_4305,  4305.00
H_gamma,  4340.464
[O III]_4363,  4363.209
[He I]_4471,  4471.00
[He II]_4686,  4685.71
H_beta,  4861.325
[O III]_4959,  4958.911
[O III]_5007,  5006.843
Mg I_5175,  5174.53
[N I]_5199,  5199.00
[N II]_5648,  5648.00
He I_5876,  5875.67
Na I_5890,  5889.95
Na I_5896,  5895.92
[O I]_6300,  6300.30
[S III]_6312,  6312.1
[O I]_6364,  6363.78
[N II]_6548,  6548.04
H_alpha,  6562.82
[N II]_6583,  6583.46
He I_6678,  6678.15
[S II]_6717,  6716.44
[S II]_6731,  6730.82
He I_7065,  7065.22
[Ar III]_7136, 7135.80
[Ar III]_7751, 7751.12
Ca II_8498(CaT),  8498.0 
Ca II_8542(CaT),  8542.1 
Ca II_8662(CaT),  8662.2 
